Time (s),Temperature at center,Average Temperature
0,37.00144962727182,37.00139164218095
1,37.00422507806962,36.92388707182405
2,37.00512831992438,37.04451292153345
3,37.01516738249021,36.97274060129177
4,37.01878770710386,37.095030165683085
5,37.03135000967489,37.023826007352916
6,37.03741164239316,37.14693638252307
7,37.052380148911865,37.07561850126007
8,37.0607589273977,37.19888571353453
9,37.07799690754324,37.12679814452594
10,37.08854345022935,37.249584332128435
11,37.107889621038865,37.17610260294021
12,37.12043093988997,37.297806851147186
13,37.14170143137414,37.22234862980462
14,37.156043028398,37.3424172113592
15,37.1790335974204,37.26445209507135
16,37.194961789062106,37.382387772499875
17,37.21945024740264,37.30144606927274
18,37.236734689100174,37.41681632538404
19,37.262483517148766,37.332496703429754
20,37.28087989851381,37.444940783762206
21,37.30763901415449,37.35691668169854
22,37.32689189352241,37.46615135148179
23,37.354401544225624,37.37417606176903
24,35.0,37.48
25,40.0,37.48
26,35.0,37.48
27,40.0,37.48
28,35.0,37.48
29,40.0,37.48
30,35.0,37.48
31,40.0,37.48
32,35.0,37.48
33,40.0,37.48
34,35.0,37.48
35,40.0,37.48
36,35.0,37.48
37,40.0,37.48
38,35.0,37.48
39,40.0,37.48
40,35.0,37.48
41,40.0,37.48
42,35.0,37.48
43,40.0,37.48
44,35.0,37.48
45,40.0,37.48
46,35.0,37.48
47,40.0,37.48
48,35.0,37.48
49,40.0,37.48
50,35.0,37.48
51,40.0,37.48
52,35.0,37.48
53,40.0,37.48
54,35.0,37.48
55,40.0,37.48
56,35.0,37.48
57,40.0,37.48
58,35.0,37.48
59,40.0,37.48
60,35.0,37.48
61,40.0,37.48
62,35.0,37.48
63,40.0,37.48
64,35.0,37.48
65,40.0,37.48
66,35.0,37.48
67,40.0,37.48
68,35.0,37.48
69,40.0,37.48
70,35.0,37.48
71,40.0,37.48
72,35.0,37.48
73,40.0,37.48
74,35.0,37.48
75,40.0,37.48
76,35.0,37.48
77,40.0,37.48
78,35.0,37.48
79,40.0,37.48
80,35.0,37.48
81,40.0,37.48
82,35.0,37.48
83,40.0,37.48
84,35.0,37.48
85,40.0,37.48
86,35.0,37.48
87,40.0,37.48
88,35.0,37.48
89,40.0,37.48
90,35.0,37.48
91,40.0,37.48
92,35.0,37.48
93,40.0,37.48
94,35.0,37.48
95,40.0,37.48
96,35.0,37.48
97,40.0,37.48
98,35.0,37.48
99,40.0,37.48
100,35.0,37.48
101,40.0,37.48
102,35.0,37.48
103,40.0,37.48
104,35.0,37.48
105,40.0,37.48
106,35.0,37.48
107,40.0,37.48
108,35.0,37.48
109,40.0,37.48
110,35.0,37.48
111,40.0,37.48
112,35.0,37.48
113,40.0,37.48
114,35.0,37.48
115,40.0,37.48
116,35.0,37.48
117,40.0,37.48
118,35.0,37.48
119,40.0,37.48
120,35.0,37.48
121,40.0,37.48
122,35.0,37.48
123,40.0,37.48
124,35.0,37.48
125,40.0,37.48
126,35.0,37.48
127,40.0,37.48
128,35.0,37.48
129,40.0,37.48
130,35.0,37.48
131,40.0,37.48
132,35.0,37.48
133,40.0,37.48
134,35.0,37.48
135,40.0,37.48
136,35.0,37.48
137,40.0,37.48
138,35.0,37.48
139,40.0,37.48
140,35.0,37.48
141,40.0,37.48
142,35.0,37.48
143,40.0,37.48
144,35.0,37.48
145,40.0,37.48
146,35.0,37.48
147,40.0,37.48
